,DC,base_252,base_360
115,6000.0,10.81,10.59
248,6093.0,10.81,10.59
116,6184.0,10.81,10.59
249,6273.0,10.81,10.58
117,6365.0,10.81,10.59
250,6460.0,10.81,10.59
118,6553.0,10.81,10.59
251,6638.0,10.81,10.59
119,6730.0,10.81,10.59
252,6824.0,10.81,10.59
120,6915.0,10.81,10.59
253,7003.0,10.81,10.59
121,7097.0,10.81,10.59
254,7188.0,10.81,10.59
122,7202.0,10.81,10.59
255,7279.0,10.81,10.59
123,7370.0,10.81,10.59
256,7461.0,10.81,10.59
124,7554.0,10.81,10.59
257,7645.0,10.81,10.59
125,7734.0,10.81,10.59
258,7826.0,10.81,10.59
126,8010.0,10.81,10.58
259,8191.0,10.81,10.59
127,8375.0,10.81,10.58
260,8556.0,10.81,10.58
128,8744.0,10.81,10.58
261,8924.0,10.81,10.58
129,9002.0,10.81,10.58
262,9106.0,10.81,10.58
130,9288.0,10.81,10.58
263,9471.0,10.81,10.58
131,9652.0,10.81,10.58
264,10800.0,10.81,10.59
132,11388.0,10.81,10.58
265,13306.0,10.81,10.58
